subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,keyPress,accuracy,RT,ratingTrialNum,rating,ratingObject,ratingScene,experimentTime,totalTime,age,gender
566526,OSSe4,v1,1240,644,1536,864,5-15-2023,11-7-44,2,11,large,bathroom,loofah.png,scaled,0,zo,classroom,c3_zo.png,c,0,1112,11,5,loofah.png,c3_zo.png,164158,281189,61,Man
566526,OSSe4,v1,1240,644,1536,864,5-15-2023,11-7-44,2,12,large,laundromat,shorts.png,scaled,0,zo,classroom,c5_zo.png,m,1,1120,12,4,shorts.png,c5_zo.png,164158,281189,61,Man
566526,OSSe4,v1,1240,644,1536,864,5-15-2023,11-7-44,2,13,small,classroom,binderclip.png,scaled,1,zi,classroom,c3_zi.png,c,1,1431,13,3,binderclip.png,c3_zi.png,164158,281189,61,Man
566526,OSSe4,v1,1240,644,1536,864,5-15-2023,11-7-44,2,14,large,laundromat,detergent.png,misscaled,1,zi,laundromat,l5_zi.png,c,1,1302,14,3,detergent.png,l5_zi.png,164158,281189,61,Man
566526,OSSe4,v1,1240,644,1536,864,5-15-2023,11-7-44,2,15,large,kitchen,toaster.png,misscaled,0,zi,laundromat,l3_zi.png,m,1,1239,15,2,toaster.png,l3_zi.png,164158,281189,61,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,0,small,laundromat,socks.png,scaled,1,zi,laundromat,l4_zi.png,c,1,1112,0,3,socks.png,l4_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,1,large,laundromat,shorts.png,scaled,1,zo,laundromat,l3_zo.png,c,1,869,1,5,shorts.png,l3_zo.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,2,small,bathroom,floss.png,scaled,0,zi,classroom,c3_zi.png,c,0,1127,2,5,floss.png,c3_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,3,large,laundromat,detergent.png,scaled,1,zo,laundromat,l4_zo.png,c,1,884,3,4,detergent.png,l4_zo.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,4,small,bathroom,nailclipper.png,scaled,1,zi,bathroom,b1_zi.png,c,1,992,4,4,nailclipper.png,b1_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,5,large,classroom,notebook.png,misscaled,1,zi,classroom,c2_zi.png,m,0,1056,5,1,notebook.png,c2_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,6,large,bathroom,tissuebox.png,misscaled,1,zi,bathroom,b3_zi.png,c,1,943,6,1,tissuebox.png,b3_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,7,large,bathroom,hairdryer.png,misscaled,0,zi,classroom,c5_zi.png,m,1,1114,7,1,hairdryer.png,c5_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,8,small,kitchen,saltshaker.png,scaled,0,zi,classroom,c0_zi.png,m,1,1419,8,3,saltshaker.png,c0_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,9,small,bathroom,lipstick.png,misscaled,1,zo,bathroom,b5_zo.png,c,1,1022,9,5,lipstick.png,b5_zo.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,10,small,laundromat,coins.png,misscaled,0,zo,bathroom,b3_zo.png,m,1,1115,10,5,coins.png,b3_zo.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,11,large,bathroom,loofah.png,scaled,0,zo,kitchen,k2_zo.png,m,1,1377,11,5,loofah.png,k2_zo.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,12,large,kitchen,kettle.png,scaled,0,zo,laundromat,l5_zo.png,m,1,1236,12,3,kettle.png,l5_zo.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,13,large,classroom,computer.png,misscaled,0,zi,laundromat,l3_zi.png,m,1,1629,13,1,computer.png,l3_zi.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,14,small,classroom,binderclip.png,misscaled,0,zo,laundromat,l0_zo.png,m,1,1441,14,5,binderclip.png,l0_zo.png,123978,204828,59,Man
752926,OSSe4,v1,1422,632,1280,720,5-15-2023,9-10-44,1,15,small,laundromat,tidepod.png,misscaled,1,zo,laundromat,l2_zo.png,c,1,1535,15,4,tidepod.png,l2_zo.png,123978,204828,59,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,0,large,laundromat,shirt.png,scaled,1,zo,laundromat,l1_zo.png,c,1,715,0,3,shirt.png,l1_zo.png,162183,288467,34,Man
986867,OSSe4,v1,1512,865,1512,982,5-15-2023,10-52-42,1,1,large,kitchen,pot.png,scaled,1,zo,kitchen,k3_zo.png,c,1,710,1,3,pot.png,k3_zo.png,162183,288467,34,Man
