subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,scene2SizeCong,scene2SemCong,scene2ZoomName,scene2Category,scene2,keyPress,accuracy,RT,experimentTime,totalTime
497750,OSS,v6,1920,969,1920,1080,12-14-2022,12-51-52,1,13,large,classroom,notebook.png,scaled,0,zo,kitchen,k3_zo.png,1,0,zo,laundromat,l3_zo.png,m,1,622,58938,157273
497750,OSS,v6,1920,969,1920,1080,12-14-2022,12-51-52,1,14,large,kitchen,toaster.png,misscaled,1,zi,kitchen,k2_zi.png,0,0,zo,laundromat,l2_zo.png,m,1,540,58938,157273
497750,OSS,v6,1920,969,1920,1080,12-14-2022,12-51-52,1,15,small,laundromat,tidepod.png,scaled,0,zi,kitchen,k5_zi.png,1,0,zi,bathroom,b3_zi.png,m,1,676,58938,157273
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,0,small,classroom,binderclip.png,scaled,0,zi,kitchen,k1_zi.png,0,0,zo,bathroom,b3_zo.png,m,1,1275,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,1,large,bathroom,tissuebox.png,misscaled,1,zi,bathroom,b5_zi.png,0,0,zo,laundromat,l2_zo.png,m,1,678,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,2,small,classroom,paperclip.png,misscaled,0,zo,laundromat,l5_zo.png,1,0,zo,kitchen,k5_zo.png,m,1,1036,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,3,large,classroom,powerstrip.png,misscaled,0,zi,kitchen,k0_zi.png,0,0,zo,bathroom,b0_zo.png,m,1,1222,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,4,small,classroom,eraser.png,scaled,1,zi,classroom,c2_zi.png,1,1,zi,classroom,c5_zi.png,c,1,1399,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,5,large,bathroom,hairdryer.png,scaled,1,zo,bathroom,b5_zo.png,1,1,zo,bathroom,b2_zo.png,m,0,1193,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,6,small,kitchen,spoon.png,misscaled,1,zo,kitchen,k0_zo.png,0,0,zi,laundromat,l3_zi.png,m,1,811,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,7,large,kitchen,kettle.png,scaled,0,zo,laundromat,l0_zo.png,1,0,zo,classroom,c0_zo.png,m,1,1308,63413,146192
810980,OSS,v6,1536,746,1536,864,12-14-2022,15-47-14,1,8,small,laundromat,socks.png,misscaled,0,zo,classroom,c4_zo.png,1,0,zo,bathroom,b4_zo.png,m,1,526,63413,146192
