subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,scene2SizeCong,scene2SemCong,scene2ZoomName,scene2Category,scene2,keyPress,accuracy,RT,experimentTime,totalTime,age,gender
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,0,large,kitchen,kettle.png,misscaled,0,zi,bathroom,b0_zi.png,1,1,zi,bathroom,b3_zi.png,c,1,774,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,1,large,laundromat,shirt.png,scaled,1,zo,laundromat,l4_zo.png,1,0,zo,kitchen,k5_zo.png,c,0,874,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,2,large,classroom,notebook.png,misscaled,1,zi,classroom,c3_zi.png,0,0,zi,laundromat,l3_zi.png,m,1,630,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,3,small,kitchen,spoon.png,scaled,1,zi,kitchen,k1_zi.png,1,1,zi,kitchen,k4_zi.png,c,1,590,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,4,small,bathroom,floss.png,misscaled,1,zo,bathroom,b2_zo.png,1,1,zo,bathroom,b3_zo.png,c,1,774,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,5,small,classroom,paperclip.png,misscaled,0,zo,kitchen,k1_zo.png,1,0,zo,bathroom,b0_zo.png,m,1,729,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,6,large,bathroom,tissuebox.png,misscaled,0,zi,classroom,c2_zi.png,1,0,zi,laundromat,l4_zi.png,m,1,712,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,7,large,classroom,powerstrip.png,scaled,0,zo,bathroom,b1_zo.png,1,0,zo,laundromat,l5_zo.png,m,1,653,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,8,small,kitchen,saltshaker.png,scaled,0,zi,bathroom,b5_zi.png,1,1,zi,bathroom,b2_zi.png,c,1,708,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,9,large,kitchen,pot.png,misscaled,1,zi,kitchen,k0_zi.png,0,0,zi,laundromat,l2_zi.png,c,0,1118,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,10,small,kitchen,sponge.png,scaled,1,zi,kitchen,k3_zi.png,1,1,zi,kitchen,k5_zi.png,c,1,799,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,11,large,kitchen,toaster.png,scaled,0,zo,classroom,c3_zo.png,1,0,zo,bathroom,b5_zo.png,m,1,617,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,12,small,laundromat,coins.png,scaled,0,zi,kitchen,k2_zi.png,1,0,zi,classroom,c1_zi.png,m,1,642,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,13,large,laundromat,shorts.png,scaled,1,zo,laundromat,l2_zo.png,1,0,zo,kitchen,k2_zo.png,m,1,724,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,14,small,laundromat,tidepod.png,misscaled,0,zo,bathroom,b4_zo.png,1,0,zo,kitchen,k0_zo.png,m,1,675,60922,104950,24,Woman
336279,OSSe2,v2,1536,714,1536,864,4-5-2023,16-2-42,1,15,small,laundromat,socks.png,misscaled,1,zo,laundromat,l3_zo.png,1,0,zo,classroom,c0_zo.png,m,1,762,60922,104950,24,Woman
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,0,small,kitchen,spoon.png,scaled,0,zi,laundromat,l3_zi.png,0,0,zi,classroom,c4_zi.png,m,1,1092,64247,171887,45,Man
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,1,small,bathroom,lipstick.png,misscaled,1,zo,bathroom,b3_zo.png,1,1,zo,bathroom,b0_zo.png,m,0,826,64247,171887,45,Man
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,2,small,bathroom,nailclipper.png,misscaled,0,zo,laundromat,l2_zo.png,1,1,zo,laundromat,l4_zo.png,c,1,1282,64247,171887,45,Man
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,3,large,laundromat,shirt.png,misscaled,1,zi,laundromat,l4_zi.png,1,1,zi,laundromat,l5_zi.png,c,1,1250,64247,171887,45,Man
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,4,small,kitchen,sponge.png,scaled,0,zi,bathroom,b3_zi.png,1,1,zi,bathroom,b1_zi.png,c,1,1023,64247,171887,45,Man
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,5,large,kitchen,toaster.png,scaled,1,zo,kitchen,k2_zo.png,1,0,zo,laundromat,l3_zo.png,m,1,799,64247,171887,45,Man
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,6,small,laundromat,socks.png,scaled,1,zi,laundromat,l2_zi.png,1,1,zi,laundromat,l1_zi.png,m,0,815,64247,171887,45,Man
228211,OSSe2,v2,1429,895,1920,1080,4-5-2023,7-27-6,1,7,small,kitchen,saltshaker.png,misscaled,1,zo,kitchen,k4_zo.png,0,0,zo,laundromat,l0_zo.png,m,1,782,64247,171887,45,Man
